Ementa,Assunto
Requer informações sobre a agenda oficial e documentos referentes à diária do Secretário Municipal de Assistência Social no dia 6 de junho de 2025,Acesso a documentos
"REQUERIMENTO DE INFORMAÇÕES SOBRE A APLICAÇÃO DO PROGRAMA ""FLORAM VAI À ESCOLA"" E OUTRAS AÇÕES DE EDUCAÇÃO AMBIENTAL NA REDE MUNICIPAL DE ENSINO",Gestão da Política Educacional
"REQUERIMENTO DE INFORMAÇÕES SOBRE O CONTRATO DE CONCESSÃO DO MULTI HOSPITAL, COBRANÇA DE ESTACIONAMENTO E POLÍTICAS DE ISENÇÃO",Equipamentos públicos de saúde
"Requer informações sobre o estacionamento do Multihospital Florianópolis, localizado no bairro Carianos.",Gestão e Regulação da Mobilidade Urbana
"Requer o encaminhamento de expediente à Secretaria Municipal de Planejamento, Habitação e Desenvolvimento Urbano solicitando informações sobre os valores arrecadados com a outorga onerosa.",Informações e esclarecimentos
"À Secretaria Municipal de Educação, solicitando informações referentes aos critérios utilizados para a definição do número de funcionários terceirizados nas unidades escolares",Terceirização de serviço
"ALTERA A LEI COMPLEMENTAR Nº 1.224/1974, QUE DISPÕE SOBRE O CÓDIGO DE POSTURAS.",Decoro e conduta em espaços públicos
"ALTERA A LEI COMPLEMENTAR Nº 374/2010 QUE DISPÕE SOBRE A REGULARIZAÇÃO DE CONSTRUÇÕES IRREGULARES E CLANDESTINAS NA FORMA QUE ESPECIFICA, DE ATIVIDADE NÃO RESIDENCIAL SEM LICENÇA PARA FUNCIONAMENTO E DÁ OUTRAS PROVIDÊNCIAS.",Regularização fundiária
"INCLUI ITEM NO ANEXO II DA LEI N. 10.482, DE 2019 – Semana do “Namoro sem Violência”.",Semana Municipal
INSTITUI A POLÍTICA MUNICIPAL DE COMBATE À PICHAÇÃO E DÁ OUTRAS PROVIDÊNCIAS.,Limpeza Urbana
"Indica ao Executivo Municipal a necessidade de reparo em calçada na rua Felipe Neves, esquina com a rua Cel. Caetano Costa localizado no Bairro Jardim Atlântico.",Manutenção da infraestrutura viária
"Solicita o conserto da casinha da árvore do NEIM Morro do Mocotó, localizado no Morro da Queimada",Manutenção da estrutura escolar
"Solicita avaliação técnica do terreno do NEIM Morro do Mocotó, localizado no Morro da Queimada",Manutenção da estrutura escolar
"Solicitar a desratização na Rua Felipe Neves, no bairro Capoeiras.",Controle sanitário e vigilância em saúde
"Solicitar a instalação de duas lixeiras de 1000 litros na Rua Felipe Neves, nas proximidades do número 1330, no bairro Capoeiras.",Limpeza Urbana
"Solicita a pintura dos brinquedos do parquinho do NEIM Morro do Mocotó, localizado no Morro da Queimada",Manutenção da estrutura escolar
"Solicita o conserto da caixa de gás do NEIM Morro do Mocotó, localizado no Morro da Queimada",Manutenção da estrutura escolar
"Solicita reparo na rede elétrica do NEIM Morro do Mocotó, localizado no Morro da Queimada",Manutenção da estrutura escolar
"Solicita a aquisição de novas máquinas de lavar roupa para o NEIM Morro do Mocotó, localizado no Morro da Queimada",Manutenção da estrutura escolar
"A vereadora que esta subscreve, na forma regimental, solicita o envio de expediente ao Chefe do Poder Executivo, sugerindo ao órgão competente que providencie a confecção dos cartazes Informativos sobre Aborto Legal, devidamente autorizados na Lei Municipal 10.338/2028, que instituiu o Programa de Atenção Humanizada ao Aborto Legal.",Gestão e Regulação da Saúde Pública
Sugere abertura de licitação para a compra de lençóis destinados aos NEIMs da rede municipal de educação,"Compras, contratos e patrimônio público"
"Indicação de conclusão das obras paralisadas na Avenida Campeche, nº 2349, bairro Campeche.",Manutenção da infraestrutura viária
Solicitação de Sessão Solene em Comemoração aos 25 anos da AMUCC,Sessão Solene
Requer informações ao Executivo Municipal sobre a ausência de atendimento médico na área 600 do Centro de Saúde de Coqueiros,Equipamentos públicos de saúde
Solicitação de instalação de corrimão na escadaria da Servidão Manoel Barcelos - Saco Grande.,Acessibilidade
Solicitação de revitalização no calçamento da Rua Joaquim Neves - Pântano do Sul.,Manutenção da infraestrutura viária
Manutenção e calçamento na Rua Milton Francisco Oscar - Pântano do Sul.,Manutenção da infraestrutura viária
"Indica reparo do buraco existente na Rua Paschoal Apóstolo Pitscia, nas proximidades da subestação da CELESC agronomica",Manutenção da infraestrutura viária
Indica a instalação de novo abrigo do ponto de ônibus localizado na Rodovia Baldicero Filomeno,Manutenção de pontos de ônibus
Indicar a ampliação dos horários das linhas de ônibus 164 - Córrego grande via poção,Transporte público
INDICAÇÃO Relajotamento Rua Paloma Terezinha Rosa de Lima,Manutenção da infraestrutura viária
Solicitação de Instalação de Cobertura em Ponto de Ônibus Bairro Balneário do Estreito.,Manutenção de pontos de ônibus
"Solicita melhorias no parquinho do NEIM São João Batista, localizado no Bairro São João do Rio Vermelho",Manutenção da estrutura escolar
"Recuperação e recomposição do calçamento com lajotas na Servidão das Seringueiras, nº 1, na comunidade Chico Mendes.",Manutenção da infraestrutura viária
"Reparo de um buraco existente na Avenida Almirante Tamandaré, nas proximidades do número 106.",Manutenção da infraestrutura viária
"ALTERA O ART. 54 DA LEI COMPLEMENTAR Nº 063, DE 2003, QUE INSTITUI O ESTATUTO DOS SERVIDORES PÚBLICOS DO MUNICÍPIO DE FLORIANÓPOLIS.",Gestão de pessoas e carreira no serviço público
"Moção de aplausos aos jovens atletas de Surf, integrantes da Associação Cultural, Recreativa, Esportiva e Social Chico Science.",Moção de aplausos
Requer informações sobre o expediente do Secretário Municipal de Assistência Social no dia 13 de junho de 2025.,Acesso a documentos
"Senhor Presidente, O Vereador que esta subscreve, na forma regimental, solicita a inclusão do documento “atestado de óbito” ao Projeto de Lei 19532/2025 que visa denominar a Rua Evaristo Guilherme dos Santos, via que parte da Rua Francisco Fausto Martins, nesta Capital.",Juntada de documento
"ALTERA O INCISO V DO ART. 1º DA LEI Nº 10.920, DE 2022, QUE AUTORIZA A CESSÃO DE USO DE IMÓVEL PÚBLICO MUNICIPAL À POLÍCIA MILITAR DO ESTADO DE SANTA CATARINA.","Compras, contratos e patrimônio público"
"CONCEDE A MEDALHA MANEZINHO DA ILHA, ALDÍRIO SIMÕES, AO SR. CÉLIO HERCÍLIO MARCIANO",Medalha Manezinho da Ilha Aldírio Simões
"MOÇÃO DE APLAUSOS A SENHORA CABO FLÁVIA DE SOUZA, POR SEU NOTÁVEL ATO DE CORAGEM, EMPATIA E HUMANIDADE",Moção de aplausos
Moção de aplausos para  a Direção e funcionários da Maternidade Carmela Dutra,Moção de aplausos
MOÇÃO DE APLAUSOS À CABO PM FLÁVIA E AO SOLDADO PM GIANCARLO PELA EXEMPLAR ATUAÇÃO NO SALVAMENTO REALIZADO NO BAIRRO PANTANAL,Moção de aplausos
Solicitação de via Mão única na Servidão Argentina Barcelos Silveira - Bairro Rior Vermelho.,Organização do trânsito
"Solicita a retirada de fios excedentes na Servidão Bráulio Sagaz, nº 2877, no bairro Lagoa da Conceição – Florianópolis/SC.",Manutenção de rede elétrica
"Solicita a colocação de iluminação na praça localizada na Rua dos Lordes, nº 762, no bairro Ingleses, em Florianópolis.",Iluminação pública
"Solicita a colocação de faixa de pedestres na Rua João Meirelles, nº 1298, no bairro Abraão, em Florianópolis.",Organização do trânsito
"Solicita o reparo da calçada na Rodovia Admar Gonzaga, nº 181, no bairro Itacorubi, em Florianópolis",Manutenção da infraestrutura viária
Solicitação de Poda de Árvores - Servidão Ana Cardoso.,Limpeza Urbana
Solicitação de Poda de Árvores na Servidão Caminho do Lago – Bairro Rio Vermelho.,Limpeza Urbana
"Solicitação de Poda de Árvores - Servidão Júlio Petroski, Bairro Inglesses.",Limpeza Urbana
Solicitação de Hidrojato na Rodovia Francisco Magno Vieira – Rio Tavares.,Limpeza Urbana
"Solicitar obras de drenagem e recuperação viária na Rua Afonso Pena, nº 637, no bairro Canto.",Rede de drenagem
Manutenção dos equipamentos de ginástica na Praça Getulio Vargas - Rua Quinze de Novembro nº 240 - Santo Antonio de Lisboa.,Criação e manutenção de área de lazer e atividade física
"Solicita reparos na Praça de Recreação Infantil na Servidão Aguiar, no bairro Rio Tavares",Criação e manutenção de área de lazer e atividade física
"Solicita roçagem e limpeza na praça pública localizada na Rua dos Lordes, nº 762, no bairro Ingleses – Florianópolis/SC.",Limpeza Urbana
Pintar meio-fio com faixa amarela nos trechos com placas de proibição de estacionamento na Servidão Vicentina Custódia Santos.,Organização do trânsito
"Solicitação de implantação de medidas de segurança na Servidão Ana Cardoso, próxima à EBM Antônio Paschoal Apóstolo, no bairro Rio Vermelho.",Organização do trânsito
"Moção de aplausos a Gráfica Centro Cópias pelos seus 50 anos de história, dedicação, credibilidade e relevante contribuição para a nossa cidade.",Moção de aplausos
"Solicita à CASAN a verificação e reparo de vazamento de água na Servidão Júlio de Oliveira, nº 49, no bairro Coloninha.",Rede de abastecimento de água
Requer uso da Tribuna Livre para  Direção da Maternidade Carmela  Dutra,Sessão Comemorativa
REQUERIMENTO DE INFORMAÇÕES SOBRE CAPACITAÇÃO DE MÉDICOS PARA PRESCRIÇÃO DE CANABIDIOL E MEDICAMENTOS À BASE DE CANNABIS,Gestão e Regulação da Saúde Pública
"Requer informações sobre aplicativo de monitoramento de pessoas em situação de rua, citado em publicação do portal Floripa Mil Graus",Pessoas em vulnerabilidade ou risco social
Arquivamento do PLC 1.991/2025.,Arquivamento de proposição
"Requer a realização de audiência pública para discussão das condições e intervenções no trânsito do bairro Ingleses, em Florianópolis.",Organização do trânsito
"DISPÕE SOBRE A CIRCULAÇÃO DE CICLOMOTORES, BICICLETAS ELÉTRICAS E EQUIPAMENTOS DE MOBILIDADE INDIVIDUAL AUTOPROPELIDOS, NAS VIAS PÚBLICAS E DÁ OUTRAS PROVIDÊNCIAS.",Organização do trânsito
"INSTITUI NO ÂMBITO MUNICIPAL, A CAMPANHA “SEGUNDA SEM CARNE NAS ESCOLAS DA REDE MUNICIPAL DE FLORIANÓPOLIS” E DÁ OUTRAS PROVIDÊNCIAS",Gestão da Política Educacional
CONCEDE MEDALHA DO MÉRITO DESPORTIVO MIGUEL LIVRAMENTO À SENHORA LILIAN RAMOS DUTRA,Medalha do Mérito Desportivo Miguel Livramento
"ALTERA O ART. 1º DA LEI N. 10.414, DE 2018, QUE DENOMINA PRAÇA PÚBLICA",Criação e manutenção de área de lazer e atividade física
Institui o selo “Empresa Amiga das Pessoas com TEA” no Município de Florianópolis e dá outras providências.,Pessoas com deficiência e neurodivergentes
DISPÕE SOBRE A OBRIGATORIEDADE DE INSTALAÇÃO DE EQUIPAMENTOS DE CARDIOPROTEÇÃO EM LOCAIS ESPECÍFICOS E ESTRATÉGICOS DO MUNICÍPIO.,Prevenção e combate de doenças
"DECLARA DE UTILIDADE PÚBLICA MUNICIPAL A ASSOCIAÇÃO CATARINENSE DE ALTINHA - ACA, NOS TERMOS DA LEI MUNICIPAL N. 7.798/2008.",Título de utilidade pública
"DECLARA DE UTILIDADE PÚBLICA MUNICIPAL A CASA ESPÍRITA CONFORTO E PAZ, NOS TERMOS DA LEI MUNICIPAL N. 7.798/2008",Título de utilidade pública
CONCEDE A MEDALHA MANÉZINHO DA ILHA ALDÍRIO SIMÕES AO SENHOR VALDIR MIGUEL DE ANDRADE .,Medalha Manezinho da Ilha Aldírio Simões
"Solicitar que seja feito um remendo profundo na Estrada Caminho dos Açores, na altura do número 901, em frente ao Condomínio Caminho dos Açores, no bairro Santo Antônio de Lisboa.",Manutenção da infraestrutura viária
"Sugere melhorias na sinalização viária do cruzamento da Rua Intendente João Nunes Vieira com a Rodovia João Gualberto Soares, localizado no Bairro Ingleses do Rio Vermelho",Organização do trânsito
Indica melhorias no sistema de marcação de consultas nas unidades de saúde do município,Gestão e Regulação da Saúde Pública
Solicita disponibilização de micro-ônibus para transporte de integrantes da Associação Cultural OGAS DA LUA ao evento cultural-religioso de Umbanda no Rio Grande do Sul,Evento cultural
"Indica o aumento da frequência de horários da linha de ônibus 263 – Gaivotas, que atende moradores do Norte da Ilha",Transporte público
"Solicitar a manutenção de um buraco existente na Rua Nossa Senhora das Graças, nº 147, no bairro Estreito.",Manutenção da infraestrutura viária
"Recolhimento do restante de asfalto que está depositado sobre a calçada na Travessa Rodolfo Silva, nº 160, no bairro Jardim Atlântico.",Limpeza Urbana
"Solicitação de medidas urgentes de controle e prevenção de dengue na Servidão Jaborandi e entorno, no bairro Campeche.",Controle sanitário e vigilância em saúde
Solicitação de  conserto urgente da máquina de biometria ocular utilizada nos exames pré-operatórios de catarata no Multihospital de Florianópolis.,Equipamentos públicos de saúde
"Solicitação de reparos em um buraco localizado na Rua Campolino Alves, nº 398, no bairro Capoeiras.",Manutenção da infraestrutura viária
"Solicitar reparo do asfalto na Rua Almirante Lucas Boiteux, nº 57, no bairro Estreito.",Manutenção da infraestrutura viária
"Solicitar reparo no asfalto da Rua Sérgio Gil, nº 425, no bairro Balneário.",Manutenção da infraestrutura viária
"Construção de abrigo no ponto de ônibus da EEM Jacó Anderle, bairro Vargem Grande.",Manutenção de pontos de ônibus
"Indicação de melhorias da drenagem e fiscalização de sobrecarga por obras irregulares na Rua Domingos José da Silveira, bairro Rio Vermelho.",Rede de drenagem
Solicita à Prefeitura a aquisição de uma cabine de audiometria,Prevenção e combate de doenças
"Solicitar reparo asfáltico na Rua Prefeito Rogério Vieira, nas proximidades do número 51, no bairro Jardim Atlântico.",Manutenção da infraestrutura viária
"Solicitar reparo definitivo no asfalto da Servidão Júlio de Oliveira, nº 33, no bairro Coloninha.",Manutenção da infraestrutura viária
"Reparo de um buraco no asfalto localizado na Rua Vereador Batista Pereira, nas proximidades do número 167, no bairro Canto.",Manutenção da infraestrutura viária
"Ao Governo de Santa Catarina e SIE-SC, solicitando pintura e sinalização da ciclofaixa da Rodovia João Gualberto Soares (SC-406), localizada no Bairro São João do Rio Vermelho",Infraestrutura cicloviária
"Ao Governo de Santa Catarina e SIE-SC, sugerindo melhorias nas estruturas das rótulas da Rodovia Armando Calil Bulos (SC-403), no Bairro Vargem Grande",Manutenção da infraestrutura viária
"À CASAN, solicitando averiguação do sistema de esgoto e da água distribuída na região da Rodovia João Gualberto Soares, no bairro Ingleses do Rio Vermelho",Rede de esgotamento sanitário
Requer Reunião Ampliada no âmbito da Comissão de Trabalho Legislação Social e Serviço Público para discussão da retomada do serviço da Comcap especialmente no Norte da Ilha.,Limpeza Urbana
Solicitação Tribuna Livre,Gestão da Política Educacional
"Requer a realização de Audiência Pública no âmbito da Comissão de Saúde da Câmara Municipal de Florianópolis para debater a otimização do atendimento pelas equipes de Saúde da Família, visando aprimorar o serviço prestado à população.",Gestão e Regulação da Saúde Pública
FRENTE PARLAMENTAR DE MOBILIDADE URBANA.,Frente Parlamentar
"Requer a realização de Reunião Ampliada no âmbito da Comissão de Orçamento, Finanças e Tributação (COFT) para debater sobre o plano anual de contratações e licitações da Prefeitura Municipal de Florianópolis.",Planejamento e orçamento público
"Requer informação a SME sobre o Ofício 200/2025 referente as apostilas ""Aprende Mais: Caderno de Aprendizagem Contínua""",Material didático
Pedido de informação acerca do edital da Praça Pio XII,Criação e manutenção de área de lazer e atividade física
Requer envio de ofício à Secretaria de Estado de Infraestrutura e Mobilidade  para implementar  faixa elevada   na  SC-406 - Rodovia João Gualberto Soares,Organização do trânsito
"Requer informações à Secretaria Municipal de Saúde sobre as reformas no prédio da antiga UPA Sul, bem como esclarecimentos sobre o destino futuro do imóvel.",Equipamentos públicos de saúde
SOLICITA À CELESC A INSTALAÇÃO DE REDE DE ENERGIA ELÉTRICA NA SERVIDÃO MARIA DE JESUS AUGUSTO.,Manutenção de rede elétrica
Revitalização na Rua Graciliano Manoel Gomes - Ingleses.,Manutenção da infraestrutura viária
CONCEDE MEDALHA DIVINO ESPÍRITO SANTO À SENHORA ROSA DOS SANTOS CRUZ,Medalha Divino Espírito Santo
"Institui, no âmbito da Câmara Municipal de Florianópolis, a Galeria “Arco-Íris” das Vereanças LGBTIA+, com o objetivo de reconhecer, valorizar e visibilizar a atuação de parlamentares autodeclarados lésbicas, gays, bissexuais, travestis, transexuais, queer e outras identidades da diversidade sexual e de gênero no legislativo municipal.",Diversidade sexual e de gênero
CONCEDE A MEDALHA JENNIFER CELIA HENRIQUE AO PORTAL FLORIPA.LGBT,Medalha Jennifer Celia Henrique
DECLARA COMO BEM DO PATRIMÔNIO CULTURAL IMATERIAL DO MUNICÍPIO DE FLORIANÓPOLIS O EVENTO “PARADA DO ORGULHO LGBTI+ DE FLORIANÓPOLIS” E DÁ OUTRAS PROVIDÊNCIAS.,Diversidade sexual e de gênero
Dispõe sobre a divulgação do direito à gratuidade no transporte coletivo municipal para pessoas vivendo com HIV (PVHIV) e dá outras providências.,Transporte público
"Institui o Mês de Combate à LGBTfobia no Futebol, a ser celebrado anualmente em novembro.",Diversidade sexual e de gênero
Dispõe sobre a responsabilização administrativa em caso de práticas de “terapias de conversão” da orientação sexual ou da identidade de gênero de pessoas que não se enquadram nos padrões heterossexuais e cisgêneros.,Diversidade sexual e de gênero
DECLARA DE UTILIDADE PÚBLICA A ASSOCIAÇÃO AMIGOS DO MIRA,Título de utilidade pública
"Requer realização de Reunião Ampliada no âmbito da Comissão de Viação, Obras Públicas e Urbanismo.",Impactos urbanísticos de empreendimentos
"Solicitar poda de árvores localizadas na Servidão Izidoro Braz da Silva, n.º 145, no bairro Itacorubi.",Limpeza Urbana
"Requer informações a respeito de condições no serviço prestado pelo Consórcio Fênix, referente aos elevadores para acesso de cadeirantes.",Acessibilidade
Solicitação de providências urgentes para a melhoria das condições dos ônibus e da infraestrutura dos terminais utilizados pela população do Sul da Ilha.,Transporte público
"Indicação de necessidade de conserto de buraco no pavimento da Rua Frei Caneca, nº 473, bairro Agronômica.",Manutenção da infraestrutura viária
"Reitera indicação de manutenção e reparos no parque infantil da NEIM Professora Maria Barreiros, no Bairro Coloninha.",Manutenção da estrutura escolar
"Solicitação de Travessia Elevada na Rua Capitão Romualdo de Barros, nº 694 - Saco dos Limões.",Organização do trânsito
"Solicitação de providências referente à manutenção e poda de árvores na Rua Frei Fabiano de Cristo, no bairro Monte Cristo.",Limpeza Urbana
"Solicita a instalação de cobertura na quadra da Praça do Morro do Quilombo, no bairro Itacorubi",Criação e manutenção de área de lazer e atividade física
"Solicita a colocação de grama sintética na quadra da Praça do Morro do Quilombo, no bairro Itacorubi",Criação e manutenção de área de lazer e atividade física
CRIA O FUNDO MUNICIPAL DE PROTEÇÃO E BEM-ESTAR ANIMAL EM FLORIANÓPOLIS E DÁ OUTRAS PROVIDÊNCIAS.,Gestão da política de proteção animal
"ALTERA O ART. 1º DA LEI N. 073, DE 1995 - DENOMINA VIA PÚBLICA SERVIDÃO MARCELINO ANTÔNIO NUNES",Legalização e denominação de vias e espaços públicos
Requerimento de informações - Duplicação das Ruas Búzios e Manjubas em Jurerê.,Gestão e Regulação da Mobilidade Urbana
Intervenções de Manutenção na Rodovia Virgílio Várzea nº 844 - Bairro Vargem Pequena.,Manutenção da infraestrutura viária
"Solicita calçamento da Servidão Cid Silva, localizada no bairro São João do Rio Vermelho",Manutenção da infraestrutura viária
solicitação de providências quanto aos problemas recorrentes no sistema de encanamento da EBM Batista Pereira,Manutenção da estrutura escolar
Implementação da Central de Intérpretes de Libras.,Acessibilidade
"Indica ao Executivo Municipal a necessidade de reparos na Rua Coronel Luiz Caldeira, no Bairro João Paulo",Manutenção da infraestrutura viária
"Indica ao Executivo Municipal a necessidade de ampliação do quadro de servidores do Posto de Saúde da Prainha, com a contratação de 1 Auxiliar de Saúde Bucal (ASB) e 2 Auxiliares Administrativos para a recepção.",Trabalhadores da saúde
"Indica ao Executivo Municipal a necessidade de ampliação dos serviços públicos na Região do Capivari, incluindo melhorias na infraestrutura urbana e no transporte coletivo.",Transporte público
"Indica melhorias no sistema de drenagem da Estrada Dário Manoel Cardoso, no bairro Ingleses do Rio Vermelho",Rede de drenagem
"Solicita melhorias estruturais nas quadras da Escola Básica Municipal Darcy Ribeiro, localizada no bairro São João do Rio Vermelho",Manutenção da estrutura escolar
"Indica construção de um bicicletário na Escola Básica Municipal Darcy Ribeiro, localizada no bairro São João do Rio Vermelho",Manutenção da estrutura escolar
"Indica a contratação de um profissional bibliotecário para atuar na Escola Básica Municipal Darcy Ribeiro, localizada no bairro São João do Rio Vermelho",Trabalhadores da educação
"Indica a construção do auditório na Escola Básica Municipal Darcy Ribeiro, localizada no bairro São João do Rio Vermelho",Manutenção da estrutura escolar
"Solicitar relajotamento do trecho da Rua Dalci Teodósio Silveira, nas proximidades do número 74, no bairro Capoeiras.",Manutenção da infraestrutura viária
"Solicitando reparos asfálticos na Rua Jornalista Rodolfo Eduardo Sulivan, nas proximidades do número 292, no bairro Jardim Atlântico.",Manutenção da infraestrutura viária
"ALTERA DISPOSITIVOS DA RESOLUÇÃO N. 750, DE 2001, QUE CRIA A MEDALHA JOÃO DAVID FERREIRA LIMA.",Medalha Professor João David Ferreira Lima
ALTERA A MEDALHA “PROFESSOR JOÃO DAVID FERREIRA LIMA” PARA “PROFESSOR HENRIQUE DA SILVA FONTES”.,Medalha Professor João David Ferreira Lima
CONCEDE O TROFÉU VEREADOR PEDRO MEDEIROS A SENHORA SOELOIR SALETE BERNARDES,Troféu Vereador Pedro Medeiros
INSTITUI A POLÍTICA DE SAÚDE MENTAL MASCULINA NO MUNICÍPIO DE FLORIANÓPOLIS,Gestão e Regulação da Saúde Pública
REQUERIMENTO DE INFORMAÇÕES AO CENTRO DE ZOONOSES SOBRE MEDICAMENTOS VETERINÁRIOS DISPONÍVEIS,Bem-estar e proteção animal
 Requerimento de Informações precisas sobre a quantidade de alunos e alunas imigrantes nas escolas da rede municipal de Florianópolis.,Acesso a documentos
Solicitação de estudo de viabilidade para a instalação de placas de embarque e desembarque em frente ao Terminal Rodoviário Rita Maria.,Organização do trânsito
"Requer envio de expediente ao Governador do Estado de Santa Catarina, sugerindo providências do órgão competente, para a realização das manutenções necessárias no muro da Reitoria da Universidade do Estado de Santa Catarina.",Manutenção da estrutura escolar
"Asfaltamento da Rua José Batista Rosa, Trindade.",Manutenção da infraestrutura viária
Solicita a transferência da estátua do fundador Francisco Dias Velho,Patrimônio cultural
"Solicitar o conserto do ponto de ônibus localizado na Avenida Ivo Silveira, nº 1073, no bairro Capoeiras.",Manutenção de pontos de ônibus
"Solicitar o reparo de buraco na Rua Elesbão Pinto da Luz, nas proximidades do número 1829, no bairro Monte Cristo.",Manutenção da infraestrutura viária
"Solicitar a substituição da pavimentação da Servidão José Nunes de Souza, no bairro Coloninha.",Manutenção da infraestrutura viária
"Solicita a criação de praça pública, denominada de Jerônymo Borges Filho.",Criação e manutenção de área de lazer e atividade física
Construção de Praça Pública – Rua Lázaro Oliveira Souza,Criação e manutenção de área de lazer e atividade física
"Solicitação de roçagem e limpeza ao longo da Rua José Félix Vieira, com especial atenção às proximidades do número 320, no bairro Pantanal, nesta capital.",Limpeza Urbana
"solicitação de retirada de fios excedentes nos postes ao longo da Servidão Bráulio Sagaz N°2877, situada no bairro Lagoa da Conceição, nesta capital.",Manutenção de rede elétrica
"Solicita o reparo da calçada na Servidão Moyses dos Santos, nº73, no bairro Pantanal, em Florianópolis",Manutenção da infraestrutura viária
"Solicita o reparo da calçada na Rua Antenor Vieira, nº 277, no bairro Lagoa da Conceição, em Florianópolis",Manutenção da infraestrutura viária
Solicitação de Poda de Árvores  Rua José Nunes Vieira - Ingleses,Limpeza Urbana
Solicitação de Recolhimento de Lixo Pesado – Servidão Recanto da Harmonia,Limpeza Urbana
"Solicitação de poda das árvores localizadas ao longo de toda a extensão da Servidão Maringá, no bairro Rio Vermelho, nesta capital.",Limpeza Urbana
Solicitação de Roçagem e Limpeza de Praça Pública – Bairro Ingleses,Limpeza Urbana
Solicitação de poda das árvores localizadas na praça pública situada na Rua dos Lordes.,Limpeza Urbana
Requer informações a respeito do PDDF e PDDE.,Gestão da Política Educacional
Requer informações ao Executivo Municipal e à Secretaria Municipal de Saúde sobre a falta de médicos no Centro de Saúde do bairro Pantanal e a previsão para reposição do quadro.,Equipamentos públicos de saúde
"Solicita melhorias nas condições de segurança da Rua Capitão Romualdo de Barros, no bairro Carvoeira",Organização do trânsito
"Solicita reforço da sinalização da ciclo-faixa na Rua Capitão Romualdo de Barros, no bairro Carvoeira",Organização do trânsito
"Implantação de rótula de acesso na Rua João Motta Espezim, no bairro Saco dos Limões",Organização do trânsito
CONCEDE MEDALHA MANEZINHO DA ILHA ALDÍRIO SIMÕES AO SR WILMAR PEREIRA FILHO.,Medalha Manezinho da Ilha Aldírio Simões
"Solicitação de providências urgentes referentes à situação precária da EBM Batista Pereira, no Ribeirão da Ilha.",Manutenção da estrutura escolar
"Solicitação de providências referente às demandas da Escola Básica Municipal Albertina Madalena Dias, Estrada Cristóvão Machado de Campos, 1537, bairro Vargem Grande, CEP 88052-600.",Manutenção da estrutura escolar
"Solicitação de providências referente à obra incompleta na Avenida Campeche, no bairro Campeche.",Manutenção da infraestrutura viária
Indicação de manutenção e melhorias urgentes na infraestrutura da unidade escolar EBM Batista Pereira.,Manutenção da estrutura escolar
"Requer envio de expediente à Secretaria de Estado da Infraestrutura e Mobilidade (SIE/SC), solicitando a realização da manutenção do Elevado do Trevo da Seta e da Ponte do Carianos.",Manutenção da infraestrutura viária
CONCEDE MEDALHA DO MÉRITO DESPORTIVO MIGUEL LIVRAMENTO AO SENHOR JOÃO BATISTA CASCAES.,Medalha do Mérito Desportivo Miguel Livramento
"Solicitação de pintura nos quebra-molas localizados na Servidão Vicentina Custódia Santos, no bairro Ingleses, em Florianópolis.",Manutenção da infraestrutura viária
"Solicitação de pintura dos meios-fios na cor amarela ao longo da Servidão Vicentina Custódia Santos - no bairro Rio Vermelho, em Florianópolis.",Manutenção da infraestrutura viária
"Solicitação de limpeza das bocas de lobo na Servidão Estêvão Antônio Nunes, situada no bairro Vargem do Bom Jesus, em Florianópolis/SC.",Rede de esgotamento sanitário
Solicitação de Implantação de Sistema de Drenagem Pluvia na servidão João Manoel da Silval - Bairro Rio Vermelho.,Rede de drenagem
"solicitação para reparo de calçada - Servidão Moisés dos Santos 73, Pantanal",Manutenção da infraestrutura viária
"Solicitação de Instalação de Placa de ""Proibido Parar e Estacionar"" – Servidão Gregório Manoel dos Santos",Organização do trânsito
INDICAÇÃO PARA PAVIMENTAÇÃO DA SERVIDÃO PÚBLICA IRINEU NOÉ DA SILVA – RIBEIRÃO DA ILHA,Manutenção da infraestrutura viária
"Indica a aquisição de colchonetes e manutenção da climatização para o NEIM Almirante Lucas Alexandre Boiteux, no Centro.",Manutenção da estrutura escolar
"Solicitar desobstrução e a drenagem do bueiro localizado na Servidão das Seringueiras, nº 127, no bairro Monte Cristo.",Rede de drenagem
"Requer Envio de Expediente ao Consórcio que administra o Terminal Rodoviário Rita Maria, sugerindo a ampliação das vagas de Embarque e Desembarque.",Organização do trânsito
"Solicitação de Hidrojato para desentupimento e limpeza da boca de lobo localizada na Servidão Acelino Epifânio dos Santos no bairro Rio Vermelho, em Florianópolis.",Rede de esgotamento sanitário
"Solicita limpeza de restos de asfalto na calçada da Rua Elesbão Pinto da Luz, 1737 – Jardim Atlântico",Limpeza Urbana
"Indicação de limpeza dos bueiros localizados na Rua Lomba do Sabão, bairro Campeche.",Rede de esgotamento sanitário
"Solicito a instalação de dois contentores de lixo, com capacidade de 1.000 litros ou 250 litros, na Rua Camilo Silveira de Souza, no bairro Monte Cristo.",Limpeza Urbana
"Solicita a instalação de dois contentores de lixo de 1.000 litros na Rua Nova Esperança, n.º 45 no bairro Monte Cristo.",Limpeza Urbana
"Solicita a verificação técnica e, se necessário, a execução de remendo profundo em asfalto na Servidão José Dutra, n.º 153, no bairro Coqueiros.",Manutenção da infraestrutura viária
